name,affiliation,homepage,scholarid
Simi Wang,University of North Carolina,,NOSCHOLARPAGE
Simo Järvelä,Aalto University,,NOSCHOLARPAGE
Simon DeDeo,Carnegie Mellon University,,NOSCHOLARPAGE
Simon Rodan,San José State University,,NOSCHOLARPAGE
Simona Bignami-Van Assche,Harvard University,,NOSCHOLARPAGE
Simona Doboli,Hofstra University,,NOSCHOLARPAGE
Siwei Liao,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Siyu Sun,Tsinghua University,,NOSCHOLARPAGE
Siyun Peng,Indiana University,,NOSCHOLARPAGE
Skyler J. Cranmer,Ohio State University,,NOSCHOLARPAGE
Smita Ghosh,University of Texas at Dallas,,NOSCHOLARPAGE
Somanath Tripathy,IIT Patna,,NOSCHOLARPAGE
Somang Nam,University of Toronto,,NOSCHOLARPAGE
Song Guo 0001,The Hong Kong Polytechnic University,,NOSCHOLARPAGE
Songhua Xu,New Jersey Institute of Technology,,NOSCHOLARPAGE
Sonja Opper,Lund University,,NOSCHOLARPAGE
Sonja Pointner,University of Bern,,NOSCHOLARPAGE
Soo Yong Lim,National Taipei University,,NOSCHOLARPAGE
Soong Moon Kang,University College London,,NOSCHOLARPAGE
Sören Petermann,Ruhr-University Bochum,,NOSCHOLARPAGE
Soumya K. Ghosh 0001,IIT Kharagpur,,NOSCHOLARPAGE
Sourav Kumar Dandapat,IIT Patna,,NOSCHOLARPAGE
Spiro Maroulis,Arizona State University,,NOSCHOLARPAGE
Sreekanth Madisetty,IIT Hyderabad,,NOSCHOLARPAGE
Sridhar Mandyam,International Institute of Information Technology,,NOSCHOLARPAGE
Srinath Srinivasa,International Institute of Information Technology,,NOSCHOLARPAGE
Srinivas K. Reddy,Singapore Management University,,NOSCHOLARPAGE
Srinka Basu,University of Kalyani,,NOSCHOLARPAGE
Sriparna Saha 0001,IIT Patna,,NOSCHOLARPAGE
Srivatsa Ramesh Jayashree,IIT Patna,,NOSCHOLARPAGE
Sruthy Agnisarman,Clemson University,,NOSCHOLARPAGE
Stamatios Giannoulakis,Cyprus University of Technology,,NOSCHOLARPAGE
Stanley Wasserman,University of Illinois at Urbana-Champaign,,NOSCHOLARPAGE
Stavros Souravlas,University of Macedonia,,NOSCHOLARPAGE
Stef Van Puyenbroeck,KU Leuven,,NOSCHOLARPAGE
Stefan Thurner,University of Vienna,,NOSCHOLARPAGE
Stefanie Bailey,Stanford University,,NOSCHOLARPAGE
Stefano Nasini,CNRS,,NOSCHOLARPAGE
Stefano Tasselli,Erasmus University Rotterdam,,NOSCHOLARPAGE
Stellan Ohlsson,University of Illinois at Chicago,,NOSCHOLARPAGE
Stephan Günnemann,Technical University of Munich,,NOSCHOLARPAGE
Stéphane Helleringer,Johns Hopkins University,,NOSCHOLARPAGE
Stéphane Legendre,CNRS,,NOSCHOLARPAGE
Stephanie Thiemichen,University of Munich,,NOSCHOLARPAGE
Stephen G. Eubank,Los Alamos National Laboratory,,NOSCHOLARPAGE
Stephen J. Walsh,University of North Carolina,,NOSCHOLARPAGE
Stephen L. France,Mississippi State University,,NOSCHOLARPAGE
Stephen P. Borgatti,University of Kent,,NOSCHOLARPAGE
Stephen R. Corman,Arizona State University,,NOSCHOLARPAGE
Stephen Tang 0001,Liverpool John Moores University,,NOSCHOLARPAGE
Steve McDonald,North Carolina State University,,NOSCHOLARPAGE
Steve T. K. Jan,Virginia Tech,,NOSCHOLARPAGE
Steven M. Chermak,Michigan State University,,NOSCHOLARPAGE
Steven M. Giles,Wake Forest University,,NOSCHOLARPAGE
Steven M. Goodreau,University of Washington,,NOSCHOLARPAGE
Steven P. Dow,University of California - San Diego,,NOSCHOLARPAGE
Steven Rytina,McGill University,,NOSCHOLARPAGE
Stijn Ruiter,Utrecht University,,NOSCHOLARPAGE
Su Deng,National University of Defense Technology,,NOSCHOLARPAGE
Subhadeep Chakraborty,University of Tennessee,,NOSCHOLARPAGE
Subhasis Chakraborty,RCC Institute of Information Technology,,NOSCHOLARPAGE
Subhayan Bhattacharya,Jadavpur University,,NOSCHOLARPAGE
Subrata Nandi,National Institute of Technology,,NOSCHOLARPAGE
Sudhanshu Kumar 0002,IIT Roorkee,,NOSCHOLARPAGE
Sudheer Dhulipalla,Arizona State University,,NOSCHOLARPAGE
Sudip Misra,IIT Kharagpur,,NOSCHOLARPAGE
Sujoy Saha,National Institute of Technology,,NOSCHOLARPAGE
Suman Kalyan Maity,Northwestern University,,NOSCHOLARPAGE
Suman Kundu,Wrocław University of Science and Technology,,NOSCHOLARPAGE
Sumit Goswami,IIT Kharagpur,,NOSCHOLARPAGE
Sung-Ju Lee,KAIST,,NOSCHOLARPAGE
Surbhi Bhatia,King Faisal University,,NOSCHOLARPAGE
Surendra Sedhai,Nanyang Technological University,,NOSCHOLARPAGE
Surya Nepal,CSIRO,,NOSCHOLARPAGE
Susan Banducci,University of Exeter,,NOSCHOLARPAGE
Susan Bastani,Alzahra University,,NOSCHOLARPAGE
Susan C. Herring,University of Indiana Bloomington,,NOSCHOLARPAGE
Susan C. Weller,University of Texas Medical Branch,,NOSCHOLARPAGE
Susan Cotts Watkins,University of Pennsylvania,,NOSCHOLARPAGE
Susan Gasson,Drexel University,,NOSCHOLARPAGE
Susan T. Ennett,University of North Carolina,,NOSCHOLARPAGE
Susanna Zaccarin,University of Trieste,,NOSCHOLARPAGE
Susanta Chakraborty,Indian Institute of Engineering Science and Technology,,NOSCHOLARPAGE
Suzhen Huang,Central South University,,NOSCHOLARPAGE
Sven Banisch,Bielefeld University,,NOSCHOLARPAGE
Svitlana Volkova,Pacific Northwest National Laboratory,,NOSCHOLARPAGE
Swastik Brahma,Tennessee State University,,NOSCHOLARPAGE
Symeon Papavassiliou,University of Athens,,NOSCHOLARPAGE
Sze-Chuan Suen,University of Southern California,,NOSCHOLARPAGE
